config_name,read,bitstring,energy,is_optimum,feasible,assignment,processing,workload,ergonomic,safety,original_cost,assignment_penalty,skill_penalty,robot_utilization_penalty,total_penalty,total_cost
steps_100_T10_to_001,43,001001100001,26.1,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
steps_100_T10_to_001,44,100001010001,19.900000000000006,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
steps_100_T10_to_001,45,100001010001,19.900000000000006,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
steps_100_T10_to_001,46,001000010001,34.0,False,False,"{'O11': ['M'], 'O12': [], 'O21': ['R'], 'O22': ['M']}",12,0.0,0.0,2.0,14.0,20,0,0,20,34.0
steps_100_T10_to_001,47,001001100100,34.400000000000006,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",20,4.5,4.8999999999999995,0.0,29.4,0,0,5,5,34.4
steps_100_T10_to_001,48,100001010100,28.199999999999996,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",18,4.0,4.199999999999999,2.0,28.2,0,0,0,0,28.2
steps_100_T10_to_001,49,001100010001,30.1,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",19,3.5,5.6,2.0,30.1,0,0,0,0,30.1
steps_100_T10_to_001,50,010001010001,25.0,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",17,0.0,0.0,3.0,20.0,0,0,5,5,25.0
steps_100_T10_to_001,51,100001010001,19.900000000000006,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
steps_100_T10_to_001,52,010001100100,31.4,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",21,4.5,4.8999999999999995,1.0,31.4,0,0,0,0,31.4
steps_100_T10_to_001,53,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_100_T10_to_001,54,100100010100,40.300000000000004,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H']}",21,7.5,9.799999999999999,2.0,40.3,0,0,0,0,40.3
steps_100_T10_to_001,55,100100010001,32.0,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",18,5.0,7.0,2.0,32.0,0,0,0,0,32.0
