bitstring,bitstring_tuple,bitstring_excel,feasible,assignment,processing,workload,ergonomic,safety,original_cost,assignment_penalty,skill_penalty,robot_utilization_penalty,total_penalty,total_cost
001000100010,"(0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0)","=""001000100010""",False,"{'O11': ['M'], 'O12': [], 'O21': ['H'], 'O22': ['R']}",17,2.0,2.0999999999999996,0.0,21.1,20,20,0,40,61.1
010101010001,"(0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1)","=""010101010001""",False,"{'O11': ['R'], 'O12': ['H', 'M'], 'O21': ['R'], 'O22': ['M']}",24,3.5,5.6,3.0,36.1,20,0,5,25,61.1
100100110001,"(1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1)","=""100100110001""",False,"{'O11': ['H'], 'O12': ['H'], 'O21': ['H', 'R'], 'O22': ['M']}",23,7.0,9.1,2.0,41.1,20,0,0,20,61.1
001000000100,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)","=""001000000100""",False,"{'O11': ['M'], 'O12': [], 'O21': [], 'O22': ['H']}",11,2.5,2.8,0.0,16.3,40,0,5,45,61.3
001010000100,"(0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0)","=""001010000100""",False,"{'O11': ['M'], 'O12': ['R'], 'O21': [], 'O22': ['H']}",16,2.5,2.8,0.0,21.3,20,20,0,40,61.3
101001100100,"(1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0)","=""101001100100""",False,"{'O11': ['H', 'M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",24,6.0,6.3,0.0,36.3,20,0,5,25,61.3
001100010101,"(0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1)","=""001100010101""",False,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H', 'M']}",25,6.0,8.399999999999999,2.0,41.4,20,0,0,20,61.4
000100100100,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0)","=""000100100100""",False,"{'O11': [], 'O12': ['H'], 'O21': ['H'], 'O22': ['H']}",18,8.0,10.5,0.0,36.5,20,0,5,25,61.5
100001001000,"(1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0)","=""100001001000""",False,"{'O11': ['H'], 'O12': ['M'], 'O21': ['M'], 'O22': []}",14,1.5,1.4,0.0,16.9,20,20,5,45,61.9
101001010000,"(1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0)","=""101001010000""",False,"{'O11': ['H', 'M'], 'O12': ['M'], 'O21': ['R'], 'O22': []}",17,1.5,1.4,2.0,21.9,40,0,0,40,61.9
