human_reward,lambda_target,human_assignments_mean,human_assignments_std,human_assignments_min,human_assignments_max,distance_from_target_mean,distance_from_target_std,distance_from_target_min,distance_from_target_max,squared_deviation_mean,squared_deviation_std,squared_deviation_min,squared_deviation_max,total_cost_without_reward_mean,total_cost_without_reward_std,total_cost_without_reward_min,total_cost_without_reward_max,adjusted_objective_manual_mean,adjusted_objective_manual_std,adjusted_objective_manual_min,adjusted_objective_manual_max,workload_mean,workload_std,workload_min,workload_max,ergonomic_mean,ergonomic_std,ergonomic_min,ergonomic_max,wall_seconds_mean,wall_seconds_std,wall_seconds_min,wall_seconds_max
2.0,3.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,46.305,1.466751891463282,44.60000000000001,48.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.2065278768539427,0.055129162589014784,2.085726022720337,2.283161878585815
2.5,0.0,3.8,1.3165611772087666,2,7,0.8,1.0327955589886444,0,3,1.6,2.8751811537130436,0,9,53.725,2.6916795665325566,50.150000000000006,59.95,44.225,1.4320245963126605,42.45,46.55,4.25,1.567907310185565,2.0,8.0,2.7,0.9797958971132715,1.5,5.1000000000000005,2.1289094209671022,0.036308378331251015,2.0514440536499023,2.176677942276001
2.5,0.1,3.7,0.4830458915396479,3,4,0.3,0.48304589153964794,0,1,0.3,0.48304589153964794,0,1,53.504999999999995,0.917257385421954,52.60000000000001,55.150000000000006,44.285000000000004,1.4364404307562195,42.60000000000001,46.65,4.15,0.6258327785172864,3.0,5.0,2.58,0.3521363372331802,2.1,3.3,2.1691277503967283,0.05417312689361032,2.080000877380371,2.272804021835327
2.5,0.25,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,44.305,1.466751891463282,42.60000000000001,46.74999999999999,4.55,0.4972144630058766,4.0,5.5,2.85,0.43011626335213127,2.4,3.5999999999999996,2.179637098312378,0.046209417168233645,2.079948663711548,2.229192018508911
2.5,0.5,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,44.305,1.466751891463282,42.60000000000001,46.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.177503538131714,0.05593401211499485,2.0646979808807373,2.2353711128234863
2.5,1.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,44.305,1.466751891463282,42.60000000000001,46.74999999999999,4.55,0.4972144630058766,4.0,5.5,2.85,0.43011626335213127,2.4,3.5999999999999996,2.17144660949707,0.0497778696716629,2.06742787361145,2.231721878051758
2.5,2.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,44.305,1.466751891463282,42.60000000000001,46.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.172489619255066,0.05619209729804603,2.080110788345337,2.2738888263702393
2.5,3.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,44.305,1.466751891463282,42.60000000000001,46.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.1685088157653807,0.0487571037148779,2.0669829845428467,2.2386410236358643
3.0,0.0,8.9,1.1972189997378646,6,10,4.9,1.197218999737865,2,6,25.3,9.911273043021938,4,36,67.97,2.497687819653301,62.54999999999999,70.60000000000001,41.269999999999996,1.903972455449685,38.599999999999994,44.54999999999999,10.95,1.9068589646618108,7.5,13.5,7.38,1.2099586769803343,5.699999999999999,9.3,2.167740488052368,0.08688218952340451,2.0472841262817383,2.3603062629699707
3.0,0.1,5.6,0.5163977794943223,5,6,1.6,0.5163977794943222,1,2,2.8,1.5491933384829668,1,4,58.45,1.3435028842544363,55.90000000000001,60.4,41.93,1.6428633540255269,39.849999999999994,44.65,6.5,0.5270462766947299,5.5,7.0,4.38,0.5692099788303081,3.6,5.3999999999999995,2.2168495893478393,0.05919356605091289,2.123594045639038,2.305306911468506
