best_energy,best_bitstring,final_energy,accepted_moves,restart,gap_to_bruteforce,matches_bruteforce_energy,matches_bruteforce_bitstring
6.300000000000004,010000000010000,6.300000000000047,3,152,1.0000000000000044,False,False
5.899999999999999,000001000010000,5.90000000000002,9,153,0.5999999999999988,False,False
5.700000000000003,000010000010000,5.700000000000031,4,154,0.400000000000003,False,False
7.300000000000004,000010000000001,7.3000000000000185,13,155,2.0000000000000044,False,False
5.300000000000001,100000000000100,5.299999999999997,6,156,8.881784197001252e-16,True,True
7.5,000001000000001,7.499999999999929,20,157,2.2,False,False
6.100000000000001,001000000000001,6.1000000000000085,9,158,0.8000000000000016,False,False
5.900000000000006,010000000000001,5.899999999999906,7,159,0.6000000000000059,False,False
7.100000000000001,000010000000010,7.10000000000003,5,160,1.8000000000000016,False,False
5.699999999999999,100000001000000,5.699999999999996,5,161,0.39999999999999947,False,False
5.700000000000003,000010000010000,5.700000000000081,5,162,0.400000000000003,False,False
5.899999999999999,000001000010000,5.89999999999997,5,163,0.5999999999999988,False,False
5.700000000000003,100000000000001,5.700000000000017,6,164,0.400000000000003,False,False
5.700000000000003,010000000000010,5.700000000000074,9,165,0.400000000000003,False,False
5.700000000000003,000010000010000,5.700000000000074,20,166,0.400000000000003,False,False
6.100000000000001,001000000000001,6.100000000000023,10,167,0.8000000000000016,False,False
6.100000000000001,010000000100000,6.100000000000001,16,168,0.8000000000000016,False,False
5.899999999999999,000001000010000,5.90000000000002,13,169,0.5999999999999988,False,False
5.700000000000003,010000000000010,5.700000000000131,7,170,0.400000000000003,False,False
5.700000000000003,010000000000010,5.699999999999996,12,171,0.400000000000003,False,False
7.5,000001000000001,7.499999999999744,8,172,2.2,False,False
5.300000000000001,100000000000100,5.300000000000026,8,173,8.881784197001252e-16,True,True
7.5,000001000000001,7.499999999999957,10,174,2.2,False,False
6.5,001000000010000,6.4999999999999005,9,175,1.2000000000000002,False,False
6.5,001000000010000,6.49999999999995,8,176,1.2000000000000002,False,False
5.899999999999999,000001000010000,5.900000000000055,6,177,0.5999999999999988,False,False
5.700000000000003,010000000000010,5.6999999999997755,6,178,0.400000000000003,False,False
5.700000000000003,100000000000001,5.699999999999946,8,179,0.400000000000003,False,False
6.5,001000000010000,6.500000000000028,5,180,1.2000000000000002,False,False
5.700000000000003,010000000000010,5.700000000000053,13,181,0.400000000000003,False,False
5.300000000000001,100000000000100,5.299999999999741,23,182,8.881784197001252e-16,True,True
6.100000000000001,010000000100000,6.09999999999965,20,183,0.8000000000000016,False,False
6.100000000000001,010000000100000,6.099999999999891,17,184,0.8000000000000016,False,False
6.5,001000000010000,6.500000000000014,9,185,1.2000000000000002,False,False
5.899999999999999,000001000010000,5.899999999999778,7,186,0.5999999999999988,False,False
6.5,001000000010000,6.4999999999999645,21,187,1.2000000000000002,False,False
5.5,100000000000010,5.499999999999972,3,188,0.20000000000000018,False,False
5.700000000000003,000010000010000,5.6999999999998465,37,189,0.400000000000003,False,False
5.5,100000000000010,5.499999999999993,2,190,0.20000000000000018,False,False
5.300000000000001,100000000000100,5.299999999999962,6,191,8.881784197001252e-16,True,True
5.300000000000001,100000000000100,5.299999999999795,12,192,8.881784197001252e-16,True,True
6.5,001000000010000,6.499999999999851,9,193,1.2000000000000002,False,False
6.5,001000000010000,6.500000000000043,9,194,1.2000000000000002,False,False
5.699999999999999,100000001000000,5.699999999999918,4,195,0.39999999999999947,False,False
7.5,000001000000001,7.499999999999972,15,196,2.2,False,False
7.100000000000001,000010000000010,7.099999999999895,10,197,1.8000000000000016,False,False
7.300000000000004,000010000000001,7.29999999999999,8,198,2.0000000000000044,False,False
5.300000000000001,100000000000100,5.299999999999809,13,199,8.881784197001252e-16,True,True
